method,path,middlewares,handler,file,visibility
"PUT","/:id","verifyAdmin","update","src\routes\admin\variant.routes.ts","admin-internal"
"DELETE","/:id","verifyAdmin","remove","src\routes\admin\variant.routes.ts","admin-internal"
"GET","/opening-hours","","inline","src\routes\admin.ts","internal"
"POST","/opening-hours","","inline","src\routes\admin.ts","internal"
"GET","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"POST","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"PUT","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"DELETE","/holiday-overrides","","inline","src\routes\admin.ts","internal"
"GET","/delivery-zones","","inline","src\routes\admin.ts","internal"
"POST","/delivery-zones","","inline","src\routes\admin.ts","internal"
"GET","/me","","inline","src\routes\admin.ts","public"
"POST","/","adminAuth|adminRole(""superadmin"")","create","src\routes\admins.routes.ts","admin-internal"
"POST","/login","","login","src\routes\admins.routes.ts","public"
"POST","/refresh","","refresh","src\routes\admins.routes.ts","internal"
"GET","/","adminAuth|adminRole(""superadmin"")","list","src\routes\admins.routes.ts","admin-internal"
"GET","/:id","adminAuth|adminRole(""superadmin"")","getById","src\routes\admins.routes.ts","admin-internal"
"PUT","/:id","adminAuth|adminRole(""superadmin"")","update","src\routes\admins.routes.ts","admin-internal"
"DELETE","/:id","adminAuth|adminRole(""superadmin"")","delete","src\routes\admins.routes.ts","admin-internal"
"GET","/revenue","adminAuth|adminRole(""manager"")","totalRevenue","src\routes\analytics.routes.ts","admin-internal"
"GET","/orders-per-day","adminAuth|adminRole(""manager"")","ordersPerDay","src\routes\analytics.routes.ts","admin-internal"
"GET","/best-selling-items","adminAuth|adminRole(""manager"")","bestSellingItems","src\routes\analytics.routes.ts","admin-internal"
"GET","/customer-stats","adminAuth|adminRole(""manager"")","customerStats","src\routes\analytics.routes.ts","admin-internal"
"GET","/courier-performance","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\analytics.routes.ts","admin-internal"
"GET","/hourly-orders","adminAuth|adminRole(""manager"")","hourlyOrders","src\routes\analytics.routes.ts","admin-internal"
"POST","/login","","inline","src\routes\auth.ts","public"
"POST","/request-link","","inline","src\routes\auth.ts","internal"
"POST","/admin/request-link","","inline","src\routes\auth.ts","internal"
"GET","/verify","","inline","src\routes\auth.ts","internal"
"GET","/admin/verify","","inline","src\routes\auth.ts","internal"
"POST","/logout","","inline","src\routes\auth.ts","internal"
"GET","/profile/:customerId","adminAuth|adminRole(""manager"")","profile","src\routes\behaviorPrediction.routes.ts","admin-internal"
"GET","/","","inline","src\routes\branches.ts","internal"
"GET","/campaigns","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns","","inline","src\routes\campaigns.ts","internal"
"PUT","/campaigns/:id","","inline","src\routes\campaigns.ts","internal"
"DELETE","/campaigns/:id","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns/:id/schedule","","inline","src\routes\campaigns.ts","internal"
"POST","/campaigns/:id/send-now","","inline","src\routes\campaigns.ts","internal"
"GET","/segments","","inline","src\routes\campaigns.ts","internal"
"POST","/segments","","inline","src\routes\campaigns.ts","internal"
"GET","/load","","loadCart","src\routes\cart\cart.routes.ts","internal"
"GET","/:cartId","","getCart","src\routes\cart\cart.routes.ts","internal"
"POST","/:cartId/item","","addItem","src\routes\cart\cart.routes.ts","internal"
"PUT","/item/:cartItemId/quantity","","updateQuantity","src\routes\cart\cart.routes.ts","internal"
"DELETE","/item/:cartItemId","","removeItem","src\routes\cart\cart.routes.ts","internal"
"POST","/checkout","customerAuth","checkout","src\routes\cart.routes.ts","public"
"POST","/","adminAuth|adminRole(""manager"")","create","src\routes\categories.routes.ts","admin-internal"
"PUT","/:id","adminAuth|adminRole(""manager"")","update","src\routes\categories.routes.ts","admin-internal"
"DELETE","/:id","adminAuth|adminRole(""manager"")","remove","src\routes\categories.routes.ts","admin-internal"
"POST","/talk","adminAuth|adminRole(""manager"")","talk","src\routes\conversational.routes.ts","admin-internal"
"GET","/history","adminAuth|adminRole(""manager"")","history","src\routes\conversational.routes.ts","admin-internal"
"GET","/order","","getCourierOrderView","src\routes\courier\courier.routes.ts","driver"
"POST","/location/update","","updateCourierLocation","src\routes\courier\courier.routes.ts","driver"
"POST","/location","","inline","src\routes\courier.ts","driver"
"POST","/status","","inline","src\routes\courier.ts","driver"
"GET","/orders/:courierId","","inline","src\routes\courier.ts","driver"
"POST","/claim","","claim","src\routes\couriers.routes.ts","driver"
"POST","/status","courierAuth","updateStatus","src\routes\couriers.routes.ts","driver"
"POST","/location","courierAuth","updateLocation","src\routes\courierTracking.routes.ts","driver"
"POST","/event","courierAuth","addEvent","src\routes\courierTracking.routes.ts","driver"
"GET","/track/:orderId","customerAuth","customerTracking","src\routes\courierTracking.routes.ts","driver"
"GET","/manager/live-map","adminAuth|adminRole(""manager"")","managerLiveMap","src\routes\courierTracking.routes.ts","admin-internal"
"GET","/track/:token","","getCustomerTracking","src\routes\customer\customerTracking.routes.ts","public"
"POST","/register","","register","src\routes\customers.routes.ts","public"
"POST","/login","","login","src\routes\customers.routes.ts","public"
"POST","/refresh","","refresh","src\routes\customers.routes.ts","public"
"GET","/me","customerAuth","profile","src\routes\customers.routes.ts","public"
"GET","/profile","customerAuth","profile","src\routes\customers.routes.ts","public"
"PUT","/phone","customerAuth","updatePhone","src\routes\customers.routes.ts","public"
"POST","/addresses","customerAuth","addAddress","src\routes\customers.routes.ts","public"
"GET","/addresses","customerAuth","listAddresses","src\routes\customers.routes.ts","public"
"GET","/addresses/:id","customerAuth","getAddress","src\routes\customers.routes.ts","public"
"PUT","/addresses/:id","customerAuth","updateAddress","src\routes\customers.routes.ts","public"
"DELETE","/addresses/:id","customerAuth","deleteAddress","src\routes\customers.routes.ts","public"
"GET","/global/revenue","adminAuth|adminRole(""admin"")","globalRevenue","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/orders","adminAuth|adminRole(""admin"")","globalOrders","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/searches","adminAuth|adminRole(""admin"")","topSearches","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/loyalty","adminAuth|adminRole(""admin"")","loyaltyStats","src\routes\dashboard.routes.ts","admin-internal"
"GET","/global/customers","adminAuth|adminRole(""admin"")","customerStats","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/revenue","adminAuth|adminRole(""manager"")","branchRevenue","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/orders","adminAuth|adminRole(""manager"")","branchOrders","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/menu","adminAuth|adminRole(""manager"")","menuPerformance","src\routes\dashboard.routes.ts","admin-internal"
"GET","/branch/:branchId/couriers","adminAuth|adminRole(""manager"")","courierPerformance","src\routes\dashboard.routes.ts","admin-internal"
"POST","/run","adminAuth|adminRole(""manager"")","run","src\routes\decisionEngine.routes.ts","admin-internal"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\decisionEngine.routes.ts","admin-internal"
"POST","/calculate","customerAuth","calculate","src\routes\deliveryFee.routes.ts","public"
"PUT","/zone/:branchId","adminAuth|adminRole(""manager"")","setZone","src\routes\deliveryFee.routes.ts","admin-internal"
"GET","/zone/:branchId","adminAuth|adminRole(""manager"")","getZone","src\routes\deliveryFee.routes.ts","admin-internal"
"GET","/available","","getAvailableDriversController","src\routes\drivers.ts","driver"
"GET","/:driverId","","getDriverController","src\routes\drivers.ts","driver"
"POST","/item","adminAuth|adminRole(""manager"")","optimizeItem","src\routes\dynamicPricing.routes.ts","admin-internal"
"POST","/branch","adminAuth|adminRole(""manager"")","optimizeBranch","src\routes\dynamicPricing.routes.ts","admin-internal"
"POST","/add","customerAuth","add","src\routes\favorites.routes.ts","public"
"POST","/remove","customerAuth","remove","src\routes\favorites.routes.ts","public"
"GET","/list","customerAuth","list","src\routes\favorites.routes.ts","public"
"GET","/analytics/most-favorited","adminAuth|adminRole(""manager"")","mostFavorited","src\routes\favorites.routes.ts","admin-internal"
"GET","/full","adminAuth|adminRole(""manager"")","fullForecast","src\routes\forecasting.routes.ts","admin-internal"
"POST","/score","adminAuth|adminRole(""admin"")","scoreOrder","src\routes\fraud.routes.ts","admin-internal"
"GET","/risk/:orderId","adminAuth|adminRole(""admin"")","getRisk","src\routes\fraud.routes.ts","admin-internal"
"GET","/flags","adminAuth|adminRole(""admin"")","flags","src\routes\fraud.routes.ts","admin-internal"
"GET","/events/:orderId","adminAuth|adminRole(""admin"")","events","src\routes\fraud.routes.ts","admin-internal"
"GET","/","","inline","src\routes\health.ts","internal"
"GET","/summary","adminAuth|adminRole(""manager"")","summary","src\routes\intelligence.routes.ts","admin-internal"
"POST","/report","adminAuth|adminRole(""manager"")","report","src\routes\intelligence.routes.ts","admin-internal"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\intelligence.routes.ts","admin-internal"
"GET","/orders","kdsAuth","getOrders","src\routes\kds.routes.ts","kds"
"POST","/status","kdsAuth","updateStatus","src\routes\kds.routes.ts","kds"
"GET","/orders/:branchId","","inline","src\routes\kds.ts","kds"
"POST","/orders/:id/status","","inline","src\routes\kds.ts","kds"
"POST","/orders/:id/assign-courier","","inline","src\routes\kds.ts","kds"
"POST","/analyze","adminAuth|adminRole(""manager"")","analyze","src\routes\knowledgeGraph.routes.ts","admin-internal"
"GET","/insights","adminAuth|adminRole(""manager"")","insights","src\routes\knowledgeGraph.routes.ts","admin-internal"
"GET","/points","customerAuth","getPoints","src\routes\loyalty.routes.ts","loyalty"
"POST","/redeem","customerAuth","redeemReward","src\routes\loyalty.routes.ts","loyalty"
"POST","/promo","customerAuth","applyPromoCode","src\routes\loyalty.routes.ts","loyalty"
"POST","/referral","customerAuth","applyReferral","src\routes\loyalty.routes.ts","loyalty"
"GET","/rewards","","listRewards","src\routes\loyalty.routes.ts","loyalty"
"POST","/rewards","adminAuth|adminRole(""manager"")","inline","src\routes\loyalty.routes.ts","admin-internal"
"POST","/promo","adminAuth|adminRole(""manager"")","inline","src\routes\loyalty.routes.ts","admin-internal"
"POST","/save","adminAuth|adminRole(""manager"")","save","src\routes\ltml.routes.ts","admin-internal"
"POST","/trends","adminAuth|adminRole(""manager"")","trends","src\routes\ltml.routes.ts","admin-internal"
"GET","/summary","adminAuth|adminRole(""manager"")","summary","src\routes\ltml.routes.ts","admin-internal"
"GET","/segment/:customerId","adminAuth|adminRole(""manager"")","segment","src\routes\ltvChurn.routes.ts","admin-internal"
"GET","/branch","adminAuth|adminRole(""manager"")","branchSegments","src\routes\ltvChurn.routes.ts","admin-internal"
"GET","/menu","adminAuth|adminRole(""manager"")","menu","src\routes\managerDashboard.routes.ts","admin-internal"
"POST","/menu/availability","adminAuth|adminRole(""manager"")","setItemAvailability","src\routes\managerDashboard.routes.ts","admin-internal"
"GET","/orders","adminAuth|adminRole(""manager"")","orders","src\routes\managerDashboard.routes.ts","admin-internal"
"GET","/couriers","adminAuth|adminRole(""manager"")","couriers","src\routes\managerDashboard.routes.ts","admin-internal"
"GET","/terminals","adminAuth|adminRole(""manager"")","terminals","src\routes\managerDashboard.routes.ts","terminal"
"GET","/schedule","adminAuth|adminRole(""manager"")","getSchedule","src\routes\managerDashboard.routes.ts","admin-internal"
"POST","/schedule","adminAuth|adminRole(""manager"")","updateSchedule","src\routes\managerDashboard.routes.ts","admin-internal"
"PUT","/marketing-preferences","customerAuth","inline","src\routes\marketing.ts","public"
"GET","/loyalty","customerAuth","inline","src\routes\marketing.ts","loyalty"
"GET","/","cacheMiddleware({ ttl: 30, keyPrefix: ""menu"" })","listMenu","src\routes\menu.routes.ts","internal"
"POST","/category","adminAuth|adminRole(""manager"")","createCategory","src\routes\menu.routes.ts","admin-internal"
"PUT","/category/:id","adminAuth|adminRole(""manager"")","updateCategory","src\routes\menu.routes.ts","admin-internal"
"DELETE","/category/:id","adminAuth|adminRole(""manager"")","deleteCategory","src\routes\menu.routes.ts","admin-internal"
"POST","/item","adminAuth|adminRole(""manager"")","createItem","src\routes\menu.routes.ts","admin-internal"
"PUT","/item/:id","adminAuth|adminRole(""manager"")","updateItem","src\routes\menu.routes.ts","admin-internal"
"DELETE","/item/:id","adminAuth|adminRole(""manager"")","deleteItem","src\routes\menu.routes.ts","admin-internal"
"POST","/variant","adminAuth|adminRole(""manager"")","createVariant","src\routes\menu.routes.ts","admin-internal"
"PUT","/variant/:id","adminAuth|adminRole(""manager"")","updateVariant","src\routes\menu.routes.ts","admin-internal"
"DELETE","/variant/:id","adminAuth|adminRole(""manager"")","deleteVariant","src\routes\menu.routes.ts","admin-internal"
"PUT","/item/:id/availability","","setItemAvailability","src\routes\menu.routes.ts","internal"
"PUT","/variant/:id/availability","","setVariantAvailability","src\routes\menu.routes.ts","internal"
"GET","/","","inline","src\routes\menu.ts","internal"
"POST","/","adminAuth|adminRole(""manager"")","createItem","src\routes\menuItems.routes.ts","admin-internal"
"PUT","/:id","adminAuth|adminRole(""manager"")","updateItem","src\routes\menuItems.routes.ts","admin-internal"
"DELETE","/:id","adminAuth|adminRole(""manager"")","deleteItem","src\routes\menuItems.routes.ts","admin-internal"
"GET","/optimize","adminAuth|adminRole(""manager"")","optimize","src\routes\menuOptimization.routes.ts","admin-internal"
"GET","/","","inline","src\routes\metrics.ts","internal"
"POST","/ask","adminAuth|adminRole(""manager"")","ask","src\routes\nlae.routes.ts","admin-internal"
"GET","/history","adminAuth|adminRole(""manager"")","history","src\routes\nlae.routes.ts","admin-internal"
"PUT","/preferences","customerAuth","updatePreferences","src\routes\notifications.routes.ts","public"
"POST","/marketing/sms","adminAuth|adminRole(""manager"")","sendMarketingSMS","src\routes\notifications.routes.ts","admin-internal"
"POST","/validate","","inline","src\routes\offers.routes.ts","internal"
"POST","/run","adminAuth|adminRole(""manager"")","run","src\routes\optimizationLoop.routes.ts","admin-internal"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\optimizationLoop.routes.ts","admin-internal"
"POST","/run","adminAuth|adminRole(""manager"")","runAll","src\routes\orchestration.routes.ts","admin-internal"
"POST","/trigger","adminAuth|adminRole(""manager"")","trigger","src\routes\orchestration.routes.ts","admin-internal"
"GET","/logs","adminAuth|adminRole(""manager"")","logs","src\routes\orchestration.routes.ts","admin-internal"
"POST","/create","customerAuth|validate(createOrderSchema)","createOrder","src\routes\order\order.routes.ts","public"
"PUT","/:orderId/status","adminAuth|validate(updateOrderStatusSchema)","updateStatus","src\routes\order\order.routes.ts","admin-internal"
"POST","/confirm-payment","customerAuth","confirmExternalPayment","src\routes\order\order.routes.ts","public"
"PUT","/:orderId/picked-up","adminAuth","courierPickup","src\routes\order\order.routes.ts","admin-internal"
"GET","/active","adminAuth","getActiveOrders","src\routes\order\order.routes.ts","admin-internal"
"GET","/:orderId","adminAuth","getOrder","src\routes\order\order.routes.ts","admin-internal"
"POST","/create","customerAuth","createOrder","src\routes\order\orderLifecycle.routes.ts","public"
"POST","/confirm-payment","customerAuth","confirmExternalPayment","src\routes\order\orderLifecycle.routes.ts","public"
"POST","/:id/preparing","","preparing","src\routes\order\orderLifecycle.routes.ts","internal"
"POST","/:id/ready","","ready","src\routes\order\orderLifecycle.routes.ts","internal"
"POST","/:id/completed","","completed","src\routes\order\orderLifecycle.routes.ts","internal"
"POST","/:id/reject","","reject","src\routes\order\orderLifecycle.routes.ts","internal"
"POST","/","","create","src\routes\orders.routes.ts","internal"
"GET","/branch/:branchId","adminAuth|adminRole(""manager"")","listBranchOrders","src\routes\orders.routes.ts","admin-internal"
"PUT","/:id/status","adminAuth|adminRole(""manager"")","updateStatus","src\routes\orders.routes.ts","admin-internal"
"POST","/courier/claim","courierAuth","courierClaim","src\routes\orders.routes.ts","driver"
"POST","/courier/picked-up","courierAuth","courierPickedUp","src\routes\orders.routes.ts","driver"
"POST","/courier/delivered","courierAuth","courierDelivered","src\routes\orders.routes.ts","driver"
"POST","/create","","inline","src\routes\orders.ts","internal"
"GET","/customer/:id","customerAuth","inline","src\routes\orders.ts","public"
"POST","/calculate","customerAuth","inline","src\routes\payment.routes.ts","public"
"POST","/finalize","customerAuth","inline","src\routes\payment.routes.ts","public"
"POST","/stripe/create-intent","","createStripeIntent","src\routes\payments.routes.ts","webhook"
"POST","/paypal/create-order","","createPayPalOrder","src\routes\payments.routes.ts","webhook"
"POST","/paypal/capture","","capturePayPalOrder","src\routes\payments.routes.ts","webhook"
"POST","/refund/:id","adminAuth|adminRole(""manager"")","refund","src\routes\payments.routes.ts","admin-internal"
"POST","/","","paypalWebhookHandler","src\routes\paypal\paypalWebhook.routes.ts","webhook"
"POST","/order/:id","","printOrder","src\routes\print\print.routes.ts","internal"
"GET","/order/:tracking_token","","inline","src\routes\public.routes.ts","public"
"GET","/","customerAuth","recommend","src\routes\recommendation.routes.ts","public"
"POST","/","customerAuth","submit","src\routes\review.routes.ts","public"
"PUT","/:reviewId","customerAuth","update","src\routes\review.routes.ts","public"
"DELETE","/:reviewId","customerAuth","delete","src\routes\review.routes.ts","public"
"POST","/item","customerAuth","rateItem","src\routes\review.routes.ts","public"
"GET","/branch","adminAuth|adminRole(""manager"")","branchReviews","src\routes\review.routes.ts","admin-internal"
"GET","/branch/rating","adminAuth|adminRole(""manager"")","branchRating","src\routes\review.routes.ts","admin-internal"
"GET","/menu","","menu","src\routes\search.routes.ts","public"
"GET","/branches","","branches","src\routes\search.routes.ts","internal"
"GET","/categories","","categories","src\routes\search.routes.ts","internal"
"GET","/analytics/top","adminAuth|adminRole(""manager"")","topSearches","src\routes\search.routes.ts","admin-internal"
"GET","/plan","adminAuth|adminRole(""manager"")","fullPlan","src\routes\staffingPrep.routes.ts","admin-internal"
"GET","/status","","inline","src\routes\sunmi.ts","printer"
"POST","/print","","inline","src\routes\sunmi.ts","printer"
"POST","/order-push","","inline","src\routes\sunmi.ts","printer"
"POST","/order-status","","inline","src\routes\sunmi.ts","printer"
"GET","/orders","","getTerminalOrders","src\routes\terminal\terminal.routes.ts","terminal"
"GET","/order/:id","","getTerminalOrderDetails","src\routes\terminal\terminal.routes.ts","terminal"
"POST","/activate","validate(activateTerminalSchema)","activate","src\routes\terminal.routes.ts","terminal"
"POST","/register","validate(registerTerminalSchema)","register","src\routes\terminal.routes.ts","terminal"
"POST","/login","validate(loginTerminalSchema)","login","src\routes\terminal.routes.ts","terminal"
"POST","/heartbeat","validateTerminalToken","heartbeat","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:order_id/assign","validateTerminalToken|validate(assignOrderSchema)","assignOrder","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:order_id/accept","validateTerminalToken|validate(acceptOrderSchema)","acceptOrder","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:order_id/reject","validateTerminalToken|validate(rejectOrderSchema)","rejectOrder","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:order_id/acknowledge","validateTerminalToken","acknowledgeOrder","src\routes\terminal.routes.ts","terminal"
"GET","/orders/stream","validateTerminalToken","ordersStream","src\routes\terminal.routes.ts","terminal"
"POST","/heartbeat","terminalAuth","inline","src\routes\terminal.routes.ts","terminal"
"POST","/error","terminalAuth","inline","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:orderId/accept","terminalAuth","acceptOrder","src\routes\terminal.routes.ts","terminal"
"POST","/orders/:orderId/reject","terminalAuth","rejectOrder","src\routes\terminal.routes.ts","terminal"
"GET","/track/:token","","inline","src\routes\track.ts","public"
"GET","/track/order/:orderId","","inline","src\routes\track.ts","public"
"GET","/validate/:code","customerAuth","inline","src\routes\voucher.routes.ts","public"
"POST","/redeem","customerAuth","inline","src\routes\voucher.routes.ts","public"
"GET","/balance","customerAuth","inline","src\routes\wallet.routes.ts","public"
"GET","/transactions","customerAuth","inline","src\routes\wallet.routes.ts","public"
"POST","/add","customerAuth","inline","src\routes\wallet.routes.ts","public"
"POST","/deduct","customerAuth","inline","src\routes\wallet.routes.ts","public"
"POST","/stripe","express.raw({ type: ""application/json"" })","inline","src\routes\webhooks.routes.ts","webhook"
"POST","/paypal","","inline","src\routes\webhooks.routes.ts","webhook"